,i,j,k,l,V_ijkl
0,0.0,1.0,1.0,0.0,-0.312
1,2.0,3.0,1.0,0.0,-0.312
2,4.0,5.0,1.0,0.0,-0.312
3,2.0,3.0,3.0,2.0,-0.312
4,4.0,5.0,3.0,2.0,-0.312
5,4.0,5.0,5.0,4.0,-0.312
6,6.0,7.0,7.0,6.0,-0.312
7,8.0,9.0,7.0,6.0,-0.333
8,10.0,11.0,7.0,6.0,-0.333
9,12.0,13.0,7.0,6.0,-0.333
10,14.0,15.0,7.0,6.0,-0.333
11,8.0,9.0,9.0,8.0,-0.333
12,10.0,11.0,9.0,8.0,-0.333
13,12.0,13.0,9.0,8.0,-0.333
14,14.0,15.0,9.0,8.0,-0.333
15,10.0,11.0,11.0,10.0,-0.333
16,12.0,13.0,11.0,10.0,-0.333
17,14.0,15.0,11.0,10.0,-0.333
18,12.0,13.0,13.0,12.0,-0.333
19,14.0,15.0,13.0,12.0,-0.333
20,14.0,15.0,15.0,14.0,-0.333
